nombre,nivel,turno,sostenimiento,domicilio,ubicacion,colonia,alcaldia,latitud,longitud
CENDI PART SEDI LOMAS,INICIAL,MATUTINO,Particular,EXPLANADA NO. 305,"EXPLANADA NO. 305, LOMAS DE CHAPULTEPEC, MIGUEL HIDALGO",LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,19.4251542,-99.211154
ARMONIA INFANTIL,INICIAL,MATUTINO,Particular,AV. SINATEL No 38 MZ. 4 LT. 21,"AV. SINATEL No 38 MZ. 4 LT. 21, SINATEL AMPLIACION, IZTAPALAPA",SINATEL (AMPL),IZTAPALAPA,19.3648281,-99.1318013
CENDI PART. COLEGIO DE LAS BALEARES,INICIAL,TIEMPO COMPLETO,Particular,JOSEFA ORTIZ DE DOMINGUEZ NO 2,"JOSEFA ORTIZ DE DOMINGUEZ NO 2, TIZAPAN, ALVARO OBREGON",TIZAPAN_TIZAPAN SAN ANGEL,ALVARO OBREGON,19.3351668,-99.202637
"CENDI PART COLEGIO CIBELES, S.C.",INICIAL,MATUTINO,Particular,RIO GRIJALVA NUM 27,"RIO GRIJALVA NUM 27, CUAUHTEMOC, CUAUHTEMOC",CUAUHTEMOC,CUAUHTEMOC,19.4336398,-99.1701471
CENTRO DE DESARROLLO INFANTIL KINDERGARDEN,INICIAL,TIEMPO COMPLETO,Particular,CALLE 11 DE ENERO DE 1861 NO. 2114,"CALLE 11 DE ENERO DE 1861 NO. 2114, LEYES DE REFORMA, IZTAPALAPA",LEYES DE REFORMA 3A SECCION I,IZTAPALAPA,19.3826355,-99.0661015
DASHEEN S.C,INICIAL,TIEMPO COMPLETO,Particular,AV. ALFREDO ROBLES DOMINGUEZ NUM 115,"AV. ALFREDO ROBLES DOMINGUEZ NUM 115, INDUSTRIAL, GUSTAVO A. MADERO",INDUSTRIAL II,GUSTAVO A. MADERO,19.4694276,-99.1286238
CENDI PART CENTRO ECOLOGICO DE DESARROLLO INFANTIL,INICIAL,TIEMPO COMPLETO,Particular,BARRANCA DE PILARES NUM 24,"BARRANCA DE PILARES NUM 24, TLACOPAC, ALVARO OBREGON",FLOR DE MARIA,ALVARO OBREGON,19.3544879,-99.2025308
ESTANCIA INFANTIL ALKACINA,INICIAL,TIEMPO COMPLETO,Particular,JOSÉ DEL RÍO 171,"JOSÉ DEL RÍO 171, SANTA MARTHA ACATITLA, IZTAPALAPA",SANTA MARTHA ACATITLA,IZTAPALAPA,19.3698434,-99.0207062
INSTITUTO DE APOYO AL NIÑO,INICIAL,MATUTINO,Particular,CERRO TUERA NO. 7,"CERRO TUERA NO. 7, OXTOPULCO, COYOACAN",OXTOPULCO UNIVERSIDAD,COYOACAN,19.3417768,-99.1820653
GUARDERIA PARTICIPATIVA U-914,INICIAL,TIEMPO COMPLETO,Particular,AV. MICHOACAN NO. 20,"AV. MICHOACAN NO. 20, RENOVACION, IZTAPALAPA",RENOVACION,IZTAPALAPA,19.3660906,-99.0533139
LICEO MEXICANO JEAN PIAGET,INICIAL,TIEMPO COMPLETO,Particular,CALLE ESTIO NUM 61,"CALLE ESTIO NUM 61, ANGEL ZIMBRON, AZCAPOTZALCO",ANGEL ZIMBRON,AZCAPOTZALCO,19.4660408,-99.1903621
COLEGIO SAN AGUSTIN,INICIAL,TIEMPO COMPLETO,Particular,MUSSET NUM 218,"MUSSET NUM 218, POLANCO REFORMA, MIGUEL HIDALGO",POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351009,-99.196841
CENDI PART JARDIN ENCANTADO,INICIAL,TIEMPO COMPLETO,Particular,RIO BAMBA NUM 713 Y 713A,"RIO BAMBA NUM 713 Y 713A, LINDAVISTA, GUSTAVO A. MADERO",LINDAVISTA I,GUSTAVO A. MADERO,19.4892334,-99.1280401
COLEGIO CIBELES,INICIAL,MATUTINO,Particular,RIO GANGES NUM 81,"RIO GANGES NUM 81, CUAUHTEMOC, CUAUHTEMOC",CUAUHTEMOC,CUAUHTEMOC,19.4274132,-99.1721186
ESTANCIA INFANTIL PRIMAVERA,INICIAL,MATUTINO,Particular,LAGO MAYOR N¦ 186,"LAGO MAYOR N¦ 186, ANAHUAC I, MIGUEL HIDALGO",ANAHUAC LOS MANZANOS,MIGUEL HIDALGO,19.4452975,-99.186061
COLEGIO RICHARDSON,INICIAL,MATUTINO,Particular,CERRADA DE BENITO JUÁREZ NO. 17,"CERRADA DE BENITO JUÁREZ NO. 17, CULHUACAN, IZTAPALAPA",SAN ANTONIO CULHUACAN (BARR),IZTAPALAPA,19.3388902,-99.1101838
CENTRO INTEGRAL INFANTIL LA SALLE SIMON BOLIVAR,INICIAL,MATUTINO,Particular,MURCIA NO. 14,"MURCIA NO. 14, INSURGENTES MIXCOAC, BENITO JUAREZ",INSURGENTES MIXCOAC,BENITO JUAREZ,19.3700367,-99.1810804
CENDI PART EDUCACIÓN Y DES. DEL INFANTE,INICIAL,MATUTINO,Particular,GUTIERREZ ZAMORA 19,"GUTIERREZ ZAMORA 19, LAS AGUILAS, ALVARO OBREGON",LAS AGUILAS,ALVARO OBREGON,19.3579164,-99.1991127
CENDI PART BUTTERFLY,INICIAL,TIEMPO COMPLETO,Particular,SILVESTRE REVUELTAS NUM 15,"SILVESTRE REVUELTAS NUM 15, GUADALUPE INN, ALVARO OBREGON",GUADALUPE INN,ALVARO OBREGON,19.3619222,-99.1875906
CENTRO DE DESARROLLO INFANTIL UNA SEMILLA DE LUZ S.C.,INICIAL,TIEMPO COMPLETO,Particular,VICTOR HUGO NUM 33,"VICTOR HUGO NUM 33, ANZURES, MIGUEL HIDALGO",ANZURES,MIGUEL HIDALGO,19.4278108,-99.1765702
CENDI PART NUEVA GENERACION,INICIAL,TIEMPO COMPLETO,Particular,NARANJO 159,"NARANJO 159, SANTA MARIA LA RIBERA, CUAUHTEMOC",SANTA MARIA LA RIBERA II,CUAUHTEMOC,19.450408,-99.1583072
CENDI PART AMERICAN CENTER FOR CHILDREN,INICIAL,MATUTINO,Particular,OBRERO MUNDIAL NUM 172,"OBRERO MUNDIAL NUM 172, DEL VALLE, BENITO JUAREZ",DEL VALLE I,BENITO JUAREZ,19.401007,-99.1641844
CENDI PART HOGAR Y FUTURO A.C.,INICIAL,TIEMPO COMPLETO,Particular,PALMAS S/N,"PALMAS S/N, SAN BARTOLO AMEYALCO, ALVARO OBREGON",SAN BARTOLO AMEYALCO (PBLO),ALVARO OBREGON,19.3257681,-99.2666357
CENDI PART IGNACIO ZARAGOZA,INICIAL,TIEMPO COMPLETO,Particular,CALLE 63 NO. 42,"CALLE 63 NO. 42, PUEBLA, VENUSTIANO CARRANZA",PUEBLA,VENUSTIANO CARRANZA,19.4104706,-99.0838974
"CENDI PART JARDIN DE NIÑOS """"ALI""""",INICIAL,MATUTINO,Particular,AJUSCO NO 90,"AJUSCO NO 90, TORIELLO GUERRA, TLALPAN",TORIELLO GUERRA,TLALPAN,19.2945075,-99.1600325
COLEGIO BILINGÜE RICHARDSON,INICIAL,MATUTINO,Particular,MARCOS CARRILLO NUM 351,"MARCOS CARRILLO NUM 351, VIADUCTO PIEDAD, IZTACALCO",VIADUCTO PIEDAD,IZTACALCO,19.3993687,-99.1342656
CENDI PART INSTITUTO DE LAS BALEARES S.C.,INICIAL,MATUTINO,Particular,AV. GUADALUPE I. RAMIREZ NUM 616,"AV. GUADALUPE I. RAMIREZ NUM 616, TIERRA NUEVA, XOCHIMILCO",TIERRA NUEVA,XOCHIMILCO,19.2676487,-99.1244629
ESTANCIA INFANTIL LINDAVISTA S.C. JUGANDO APRENDEMOS,INICIAL,TIEMPO COMPLETO,Particular,CHOSICA NUM 695,"CHOSICA NUM 695, LINDAVISTA, GUSTAVO A. MADERO",LINDAVISTA I,GUSTAVO A. MADERO,19.4919388,-99.1354042
CENDI PART CENTINELA DE INFANTES S.C.,INICIAL,TIEMPO COMPLETO,Particular,SAN FRANCISCO NUM 303,"SAN FRANCISCO NUM 303, DEL VALLE, BENITO JUAREZ",DEL VALLE II,BENITO JUAREZ,19.3954539,-99.1701479
CENDI PART COLEGIO PEDAGOGICO DE LA CIUDAD DE MÉXICO S.C. GORATONY II,INICIAL,TIEMPO COMPLETO,Particular,ANICETO ORTEGA NUM 639,"ANICETO ORTEGA NUM 639, DEL VALLE, BENITO JUAREZ",DEL VALLE V,BENITO JUAREZ,19.3798221,-99.1650473
CENDI PART INSTITUTO SHAKESPEARE S.C.,INICIAL,TIEMPO COMPLETO,Particular,HEROES NUM 83,"HEROES NUM 83, GUERRERO, CUAUHTEMOC",GUERRERO III,CUAUHTEMOC,19.4427727,-99.1463287
CENDI PART LOS PEQUEÑOS GENIOS II,INICIAL,TIEMPO COMPLETO,Particular,AV. SAN JUAN ARAGON NUM 70,"AV. SAN JUAN ARAGON NUM 70, VALLE DE GUADALUPE, GUSTAVO A. MADERO",VILLA GUSTAVO A MADERO,GUSTAVO A. MADERO,19.4836662,-99.1112401
CENDI PART. CENTRO EDUCATIVO CARACOLETA,INICIAL,MATUTINO,Particular,PALO ALTO NO. 20,"PALO ALTO NO. 20, PALO ALTO, CUAJIMALPA DE MORELOS",PALO ALTO (GRANJAS),CUAJIMALPA DE MORELOS,19.3812215,-99.2562091
PROINFANCIA TERESITA,INICIAL,TIEMPO COMPLETO,Particular,LAPLACE NO. 31,"LAPLACE NO. 31, NUEVA ANZURES, MIGUEL HIDALGO",ANZURES,MIGUEL HIDALGO,19.4352975,-99.17908
CENTRO DE DESARROLLO INFANTIL MIRAVALLE,INICIAL,MATUTINO,Particular,BALSAS NO. 13,"BALSAS NO. 13, MIRAVALLE, BENITO JUAREZ",MIRAVALLE,BENITO JUAREZ,19.3607826,-99.1399294
GUARDERIA YOLTZIN,INICIAL,TIEMPO COMPLETO,Particular,CALLE 557 NO. 131,"CALLE 557 NO. 131, UNIDAD SAN JUAN DE ARAGON, GUSTAVO A. MADERO",SAN JUAN DE ARAGON 2A SECCION (U HAB) I,GUSTAVO A. MADERO,19.4533989,-99.0841409
LOS PEQUEÑOS GENIOS III,INICIAL,TIEMPO COMPLETO,Particular,CALZADA DE GUADALUPE NO. 156,"CALZADA DE GUADALUPE NO. 156, PERALVILLO, CUAUHTEMOC",PERALVILLO II,CUAUHTEMOC,19.46001,-99.1270468
KINDERGYM,INICIAL,MATUTINO,Particular,GENARO GARCIA NO. 164 Y 166,"GENARO GARCIA NO. 164 Y 166, JARDIN BALBUENA, VENUSTIANO CARRANZA",KENNEDY (U HAB),VENUSTIANO CARRANZA,19.4177429,-99.1081109
CENTRO EDUCATIVO MONTESSORI ISKU IREKHORENI,INICIAL,MATUTINO,Particular,DIVISION DEL NORTE NO. 35,"DIVISION DEL NORTE NO. 35, SANTIAGO TULYEHUALCO, XOCHIMILCO",SANTIAGO TULYEHUALCO (PBLO),XOCHIMILCO,19.2542326,-99.010281
CENDI PART BABY BEE,INICIAL,MATUTINO,Particular,LERDO DE TEJADA NO. 79,"LERDO DE TEJADA NO. 79, GUADALUPE INN, ALVARO OBREGON",GUADALUPE INN,ALVARO OBREGON,19.3567798,-99.1861534
COLEGIO LOMAS HILL,INICIAL,MATUTINO,Particular,GUILLERMO GONZALEZ CAMARENA NUM 1500,"GUILLERMO GONZALEZ CAMARENA NUM 1500, SANTA FE, ALVARO OBREGON",LOMAS DE SANTA FE II,ALVARO OBREGON,19.3652877,-99.2658257
CENDI PART. COMUNIDAD MONTESSORI BOSQUES,INICIAL,MATUTINO,Particular,AVENIDA STIM NO. 1340,"AVENIDA STIM NO. 1340, BOSQUES DE LAS LOMAS, CUAJIMALPA DE MORELOS",LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3893415,-99.260778
GRUPO EDUCATIVO GOKO,INICIAL,MATUTINO,Particular,NORTE 66 NUMERO 3807,"NORTE 66 NUMERO 3807, MARTIRES DE RIO BLANCO, GUSTAVO A. MADERO",CUCHILLA LA JOYA,GUSTAVO A. MADERO,19.4608634,-99.110943
CENTRO DE DESARROLLO INFANTIL CASTORES,INICIAL,TIEMPO COMPLETO,Particular,AVENIDA 557 NUM 60,"AVENIDA 557 NUM 60, UNIDAD SAN JUAN DE ARAGON 2A SECCION, GUSTAVO A. MADERO",SAN JUAN DE ARAGON 2A SECCION (U HAB) I,GUSTAVO A. MADERO,19.4495944,-99.0858584
INSTITUTO PEDAGÓGICO DE EDUCACIÓN INICIAL,INICIAL,TIEMPO COMPLETO,Particular,CALZ. ERMITA IZTAPALAPA NO. 2393 ENTRE ALTAMIRANO E HIDALGO,"CALZ. ERMITA IZTAPALAPA NO. 2393 ENTRE ALTAMIRANO E HIDALGO, SANTA CRUZ MEYEHUALCO, IZTAPALAPA",SANTA CRUZ MEYEHUALCO (PBLO),IZTAPALAPA,19.34365,-99.0356007
GRUPO EDUCATIVO KOGUS,INICIAL,TIEMPO COMPLETO,Particular,PARANAGUA NUM 1136,"PARANAGUA NUM 1136, RESIDENCIAL ZACATENCO, GUSTAVO A. MADERO",RESIDENCIAL ZACATENCO,GUSTAVO A. MADERO,19.5050739,-99.126814
ESTANCIA DE LA NIÑEZ MEXICANA S.C.,INICIAL,TIEMPO COMPLETO,Particular,AV. NECAXA NUM 30,"AV. NECAXA NUM 30, INDUSTRIAL, GUSTAVO A. MADERO",INDUSTRIAL I,GUSTAVO A. MADERO,19.475118,-99.122161
CENTRO PEDAGOGICO KARYMONY,INICIAL,MATUTINO,Particular,JAVIER SORONDO NO. 319,"JAVIER SORONDO NO. 319, VILLA DE CORTES, BENITO JUAREZ",VILLA DE CORTES,BENITO JUAREZ,19.3868935,-99.1360814
CENDI PART KINDER KARE,INICIAL,TIEMPO COMPLETO,Particular,AV. DE LOS CEDROS NUM 74,"AV. DE LOS CEDROS NUM 74, CONTADERO, CUAJIMALPA DE MORELOS",EL CONTADERO,CUAJIMALPA DE MORELOS,19.3494661,-99.295343
CENTRO DE EDUCACIÓN INFANTIL M.I.A.,INICIAL,MATUTINO,Particular,OKLAHOMA NUM 138,"OKLAHOMA NUM 138, NAPOLES, BENITO JUAREZ",NAPOLES,BENITO JUAREZ,19.3912245,-99.1796061
LA CARITA FELIZ,INICIAL,TIEMPO COMPLETO,Particular,AV. AQUILES SERDAN NUM 34,"AV. AQUILES SERDAN NUM 34, LA GUADALUPITA, XOCHIMILCO",SANTIAGO TULYEHUALCO (PBLO),XOCHIMILCO,19.2561565,-99.0146765
CENDI PART JARDIN DE NIÑOS CEIDHI,INICIAL,MATUTINO,Particular,ORIENTE 91 NUM 2353,"ORIENTE 91 NUM 2353, EMILIANO ZAPATA, GUSTAVO A. MADERO",EMILIANO ZAPATA,GUSTAVO A. MADERO,19.462428,-99.1198421
CENTRO PEDAGOGICO INFANTIL PETIT,INICIAL,MATUTINO,Particular,LUIS LARA PARDO NUM 19,"LUIS LARA PARDO NUM 19, JARDIN BALBUENA, VENUSTIANO CARRANZA",JARDIN BALBUENA II,VENUSTIANO CARRANZA,19.4174423,-99.1144686
BAMBINELLO,INICIAL,TIEMPO COMPLETO,Particular,CUAUHTÉMOC NO. 149,"CUAUHTÉMOC NO. 149, SAN PEDRO, IZTAPALAPA",SAN PEDRO (BARR),IZTAPALAPA,19.3629545,-99.0894216
CENTRO EDUCATIVO PARA PEQUES,INICIAL,MATUTINO,Particular,BUENAVISTA NUM 119,"BUENAVISTA NUM 119, PUEBLO NUEVO BAJO, LA MAGDALENA CONTRERAS",PUEBLO NUEVO BAJO,LA MAGDALENA CONTRERAS,19.3029391,-99.2484795
AMERICAN BRITISH SCHOOL LINDAVISTA,INICIAL,MATUTINO,Particular,AREQUIPA NUM 606,"AREQUIPA NUM 606, LINDAVISTA, GUSTAVO A. MADERO",LINDAVISTA II,GUSTAVO A. MADERO,19.4925794,-99.12142
CENTRO DE DESARROLLO INFANTIL MUNDO FELIZ,INICIAL,MATUTINO,Particular,NEZAHUALCOYOTL NO. 126,"NEZAHUALCOYOTL NO. 126, ARAGON, GUSTAVO A. MADERO",ARAGON LA VILLA (ARAGON),GUSTAVO A. MADERO,19.478471,-99.1141256
"DASHEEN, S. C.",INICIAL,MATUTINO,Particular,CALZADA MEXICO TACUBA NO 982,"CALZADA MEXICO TACUBA NO 982, TORRE BLANCA, MIGUEL HIDALGO",TORRE BLANCA,MIGUEL HIDALGO,19.4591225,-99.1952485
CENTRO EDUCATIVO EXEA,Preescolar,MATUTINO,Particular,EJE 10 SUR NO. 49,"EJE 10 SUR NO. 49, LOS REYES, COYOACAN",PEDREGAL DE STO DOMINGO II,COYOACAN,19.3353498,-99.1604262
LAS HORMIGUITAS,Preescolar,MATUTINO,Particular,RETORNO 6 FRAY SERVANDO T. DE MIER NO. 7,"RETORNO 6 FRAY SERVANDO T. DE MIER NO. 7, JARDIN BALBUENA, VENUSTIANO CARRANZA",JARDIN BALBUENA I,VENUSTIANO CARRANZA,19.4194453,-99.1093296
LA PAZ DEL MUNDO,Preescolar,MATUTINO,Particular,NORTE 25 NO. 60,"NORTE 25 NO. 60, MOCTEZUMA 2A SECCION, VENUSTIANO CARRANZA",MOCTEZUMA 2A SECCION I,VENUSTIANO CARRANZA,19.4340706,-99.0985823
INSTITUTO JAN AMOS KOMENSKY,Preescolar,MATUTINO,Particular,FERNANDO VILLALPANDO No. 24,"FERNANDO VILLALPANDO No. 24, GUADALUPE INN, ALVARO OBREGON",GUADALUPE INN,ALVARO OBREGON,19.3532747,-99.1890193
COLEGIO SAGRADO CORAZON,Preescolar,MATUTINO,Particular,CAMINO A SANTA TERESA No. 950,"CAMINO A SANTA TERESA No. 950, SANTA TERESA, LA MAGDALENA CONTRERAS",SANTA TERESA,LA MAGDALENA CONTRERAS,19.3100462,-99.2259272
INSTITUTO MORELOS,Preescolar,MATUTINO,Particular,GOLFO DE CAMPECHE NO. 17,"GOLFO DE CAMPECHE NO. 17, TACUBA, MIGUEL HIDALGO",TACUBA,MIGUEL HIDALGO,19.4580475,-99.1860548
LUPITA,Preescolar,MATUTINO,Particular,AV. THIERS NO. 201,"AV. THIERS NO. 201, ANZURES, MIGUEL HIDALGO",ANZURES,MIGUEL HIDALGO,19.4352792,-99.1805687
NUEVO JARDIN DE NIÑOS DE MÉXICO,Preescolar,MATUTINO,Particular,CHRISTYIAN ANDERSEN NO. 506 Y POLANCO NO. 82,"CHRISTYIAN ANDERSEN NO. 506 Y POLANCO NO. 82, CHAPULTEPEC MORALES, MIGUEL HIDALGO",BOSQUES DE CHAPULTEPEC (POLANCO),MIGUEL HIDALGO,19.4303898,-99.1902382
FRANCES PASTEUR,Preescolar,MATUTINO,Particular,SCHILLER NO. 139,"SCHILLER NO. 139, POLANCO REFORMA, MIGUEL HIDALGO",CHAPULTEPEC MORALES (POLANCO),MIGUEL HIDALGO,19.4362455,-99.1863856
ALITAS,Preescolar,MATUTINO,Particular,RIO POO NO. 9,"RIO POO NO. 9, CUAUHTEMOC, CUAUHTEMOC",CUAUHTEMOC,CUAUHTEMOC,19.4330426,-99.1700985
NIÑOS DE MÉXICO,Preescolar,MATUTINO,Particular,QUERETARO NO. 151,"QUERETARO NO. 151, ROMA SUR, CUAUHTEMOC",ROMA NORTE III,CUAUHTEMOC,19.4147251,-99.1613576
CONDESA,Preescolar,MATUTINO,Particular,TLAXCALA NO. 105,"TLAXCALA NO. 105, ROMA SUR, CUAUHTEMOC",ROMA SUR I,CUAUHTEMOC,19.407706,-99.166092
"INSTITUTO ASOCIADOS AMADO NERVO, S.C.",Preescolar,MATUTINO,Particular,BAJIO NO. 220 Y 222,"BAJIO NO. 220 Y 222, ROMA SUR, CUAUHTEMOC",ROMA SUR II,CUAUHTEMOC,19.4030687,-99.1673003
BUCKINGHAM,Preescolar,MATUTINO,Particular,PETEN NO. 204,"PETEN NO. 204, NARVARTE, BENITO JUAREZ",NARVARTE IV,BENITO JUAREZ,19.3912289,-99.1526078
COLEGIO MADRID,Preescolar,MATUTINO,Particular,PUENTE NO. 224,"PUENTE NO. 224, EJIDOS DE HUIPULCO, TLALPAN",EX HACIENDA SAN JUAN DE DIOS,TLALPAN,19.2871852,-99.1343003
AMERICA,Preescolar,MATUTINO,Particular,RET. 15 DE JESUS GALINDO Y VILLA NO. 4,"RET. 15 DE JESUS GALINDO Y VILLA NO. 4, JARDIN BALBUENA, VENUSTIANO CARRANZA",JARDIN BALBUENA III,VENUSTIANO CARRANZA,19.4123815,-99.0988336
JARDIN DE NIÑOS ESTRELLA,Preescolar,MATUTINO,Particular,ACERINA No. 65,"ACERINA No. 65, ESTRELLA, GUSTAVO A. MADERO",ESTRELLA,GUSTAVO A. MADERO,19.4770579,-99.119535
JARDIN DE NIÑOS PICOLO,Preescolar,MATUTINO,Particular,J.L. BUFFON NO. 8,"J.L. BUFFON NO. 8, ANZURES, MIGUEL HIDALGO",ANZURES,MIGUEL HIDALGO,19.4334579,-99.1775543
SACBE,Preescolar,MATUTINO,Particular,BOULEVARD CAPRI NO.  70,"BOULEVARD CAPRI NO.  70, LOMAS ESTRELLA, IZTAPALAPA",LOMAS ESTRELLA 1A SECC (FRACC),IZTAPALAPA,19.3242049,-99.0936723
MARIEL,Preescolar,MATUTINO,Particular,LAGUNA DE SAN CRISTOBAL NO. 63,"LAGUNA DE SAN CRISTOBAL NO. 63, ANAHUAC I, MIGUEL HIDALGO",ANAHUAC II,MIGUEL HIDALGO,19.4446095,-99.1766117
COLEGIO SAN IGNACIO DE LOYOLA VIZCAINAS,Preescolar,MATUTINO,Particular,VIZCAINAS NO. 21,"VIZCAINAS NO. 21, CENTRO, CUAUHTEMOC",CENTRO V,CUAUHTEMOC,19.4288347,-99.1404486
COLEGIO CHIMALISTAC,Preescolar,MATUTINO,Particular,ARENAL NO. 36,"ARENAL NO. 36, HACIENDA DE GUADALUPE CHIMALISTAC, ALVARO OBREGON",HACIENDA DE GUADALUPE CHIMALISTAC,ALVARO OBREGON,19.3499235,-99.1801571
COLEGIO BRITANICO,Preescolar,MATUTINO,Particular,ALABAMA NO. 224,"ALABAMA NO. 224, NAPOLES, BENITO JUAREZ",NAPOLES,BENITO JUAREZ,19.3887754,-99.1809185
COLEGIO LESTONNAC,Preescolar,MATUTINO,Particular,CAFETALES NO. 140,"CAFETALES NO. 140, TLALPAN, TLALPAN",GRANJAS COAPA,TLALPAN,19.2957873,-99.114298
CENTRO DE EDUCACIÓN INFANTIL M.I.A.,Preescolar,MATUTINO,Particular,OKLAHOMA No. 138,"OKLAHOMA No. 138, NAPOLES, BENITO JUAREZ",NAPOLES,BENITO JUAREZ,19.3912245,-99.1796061
JARDÍN DE NIÑOS MEXICANA DEL VALLE,Preescolar,MATUTINO,Particular,GABRIEL MANCERA NO. 1611,"GABRIEL MANCERA NO. 1611, DEL VALLE, BENITO JUAREZ",DEL VALLE VII,BENITO JUAREZ,19.3683839,-99.1687823
CENTRO EDUCATIVO DEL VALLE,Preescolar,MATUTINO,Particular,MORENA NO. 423,"MORENA NO. 423, DEL VALLE, BENITO JUAREZ",DEL VALLE I,BENITO JUAREZ,19.3986925,-99.1618735
COLEGIO SUIZO DE MÉXICO,Preescolar,MATUTINO,Particular,NICOLAS SAN JUAN NO. 917,"NICOLAS SAN JUAN NO. 917, DEL VALLE, BENITO JUAREZ",DEL VALLE III,BENITO JUAREZ,19.3856489,-99.1630429
JARDIN DE NIÑOS VILLA INFANTIL,Preescolar,MATUTINO,Particular,SEGOVIA NO. 95,"SEGOVIA NO. 95, ALAMOS, BENITO JUAREZ",ALAMOS I,BENITO JUAREZ,19.4003642,-99.1410554
SARMIENTOCO ESCUELA BRITANICA AMERICANA,Preescolar,MATUTINO,Particular,INSURGENTES SUR No. 4040,"INSURGENTES SUR No. 4040, TLALPAN, TLALPAN",TLALPAN CENTRO,TLALPAN,19.2867752,-99.1750243
ESCUELA ARNOLD GESELL,Preescolar,MATUTINO,Particular,CARRIL NO 52,"CARRIL NO 52, SANTA URSULA XITLA, TLALPAN",SANTA URSULA XITLA,TLALPAN,19.2817373,-99.1799149
CEYCA PRESCHOOL,Preescolar,MATUTINO,Particular,RIO NO. 04,"RIO NO. 04, TORIELLO GUERRA, TLALPAN",TORIELLO GUERRA,TLALPAN,19.295454,-99.1643622
SANTIAGO GALAS,Preescolar,MATUTINO,Particular,ALLENDE NO. 71,"ALLENDE NO. 71, TLALPAN, TLALPAN",TLALPAN CENTRO,TLALPAN,19.2900207,-99.1645134
COLEGIO VALLE DE LOS REYES,Preescolar,MATUTINO,Particular,AV. 5 DE MAYO No. 668,"AV. 5 DE MAYO No. 668, SAN LUIS TLAXIALTEMALCO, XOCHIMILCO",SAN LUIS TLAXIALTEMALCO (PBLO),XOCHIMILCO,19.2556067,-99.0416299
INSTITUTO ISABEL GRASSETEAU,Preescolar,MATUTINO,Particular,JAIME TORRES BODET NO. 166,"JAIME TORRES BODET NO. 166, SANTA MARIA LA RIBERA, CUAUHTEMOC",SANTA MARIA LA RIBERA II,CUAUHTEMOC,19.4498038,-99.1576234
JARDIN DE NIÑOS INSTITUTO RENACIMIENTO,Preescolar,MATUTINO,Particular,CHIHUAHUA NO. 107,"CHIHUAHUA NO. 107, ROMA SUR, CUAUHTEMOC",ROMA NORTE III,CUAUHTEMOC,19.4176835,-99.1591504
JARDÍN DE NIÑOS VÍCTOR HUGO,Preescolar,MATUTINO,Particular,DR. BARRAGAN NO. 518,"DR. BARRAGAN NO. 518, NARVARTE, BENITO JUAREZ",NARVARTE I,BENITO JUAREZ,19.4007995,-99.1469035
CENTRO PEDAGOGICO VASCONCELOS,Preescolar,MATUTINO,Particular,MONTE ALBAN No. 380,"MONTE ALBAN No. 380, VERTIZ NARVARTE, BENITO JUAREZ",VERTIZ NARVARTE,BENITO JUAREZ,19.3840658,-99.1510853
CAMPESTRE DE MÉXICO,Preescolar,MATUTINO,Particular,LA BOLSA NO. 456,"LA BOLSA NO. 456, CONTADERO, CUAJIMALPA DE MORELOS",EL CONTADERO,CUAJIMALPA DE MORELOS,19.3437164,-99.3011302
COLEGIO ISRAELITA DE MÉXICO,Preescolar,MATUTINO,Particular,LOMA DEL RECUERDO NO. 44,"LOMA DEL RECUERDO NO. 44, LOMAS DE VISTA HERMOSA, CUAJIMALPA DE MORELOS",LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,19.3796757,-99.2699458
JOHN DEWEY,Preescolar,MATUTINO,Particular,ARNESES NO. 64,"ARNESES NO. 64, MINERVA, IZTAPALAPA",MINERVA,IZTAPALAPA,19.3541309,-99.1102921
EL RATÓN PÉREZ,Preescolar,MATUTINO,Particular,SAN PEDRO NO. 5,"SAN PEDRO NO. 5, SANTA MARIA AZTAHUACAN, IZTAPALAPA",SANTA MARIA AZTAHUACAN (EJ) II,IZTAPALAPA,19.3479712,-99.0301617
ALBERTO GONZÁLEZ VALLE,Preescolar,MATUTINO,Particular,PRIV. CAPITAN RODRIGUEZ ARENAS NO. 315 B,"PRIV. CAPITAN RODRIGUEZ ARENAS NO. 315 B, AGRICOLA PANTITLAN, IZTACALCO",PANTITLAN II,IZTACALCO,19.417384,-99.0636931
DEDALITO,Preescolar,MATUTINO,Particular,AV. AZCAPOTZALCO NO. 783,"AV. AZCAPOTZALCO NO. 783, REYES LOS, AZCAPOTZALCO",LOS REYES (BARR),AZCAPOTZALCO,19.4863361,-99.1851849
SANTA TERESITA,Preescolar,MATUTINO,Particular,PRIVADA SANTANDER NO. 45,"PRIVADA SANTANDER NO. 45, SAN RAFAEL AMPLIACION, AZCAPOTZALCO",SAN RAFAEL,AZCAPOTZALCO,19.486304,-99.1874886
CENTRO EDUCATIVO LE JARDIN,Preescolar,MATUTINO,Particular,SALAVERRY NO. 779,"SALAVERRY NO. 779, LINDAVISTA, GUSTAVO A. MADERO",LINDAVISTA II,GUSTAVO A. MADERO,19.4950919,-99.1323604
